Binary representation,Error,Features selected,Lookup value,Penalty factor
1001000000000001,0.8271666666666666,"(0, 3, 15)",1.2021666666666666,0.125
1000110000000000,0.798,"(0, 4, 5)",1.173,0.125
1000101000000000,0.7586666666666666,"(0, 4, 6)",1.1336666666666666,0.125
1000100100000000,0.7353333333333334,"(0, 4, 7)",1.1103333333333334,0.125
1000100010000000,0.73,"(0, 4, 8)",1.105,0.125
1000100001000000,0.7673333333333333,"(0, 4, 9)",1.1423333333333332,0.125
1000100000100000,0.7484999999999999,"(0, 4, 10)",1.1235,0.125
1000100000010000,0.748,"(0, 4, 11)",1.123,0.125
1000100000001000,0.7498333333333334,"(0, 4, 12)",1.1248333333333334,0.125
1000100000000100,0.756,"(0, 4, 13)",1.131,0.125
1000100000000010,0.7381666666666666,"(0, 4, 14)",1.1131666666666666,0.125
1000100000000001,0.8056666666666666,"(0, 4, 15)",1.1806666666666668,0.125
1000011000000000,0.7101666666666666,"(0, 5, 6)",1.0851666666666666,0.125
1000010100000000,0.69,"(0, 5, 7)",1.065,0.125
1000010010000000,0.6935,"(0, 5, 8)",1.0685,0.125
1000010001000000,0.7073333333333334,"(0, 5, 9)",1.0823333333333334,0.125
1000010000100000,0.6890000000000001,"(0, 5, 10)",1.064,0.125
1000010000010000,0.6725,"(0, 5, 11)",1.0474999999999999,0.125
1000010000001000,0.6801666666666666,"(0, 5, 12)",1.0551666666666666,0.125
1000010000000100,0.7150000000000001,"(0, 5, 13)",1.09,0.125
1000010000000010,0.6821666666666666,"(0, 5, 14)",1.0571666666666666,0.125
1000010000000001,0.726,"(0, 5, 15)",1.101,0.125
1000001100000000,0.6401666666666667,"(0, 6, 7)",1.0151666666666666,0.125
1000001010000000,0.6134999999999999,"(0, 6, 8)",0.9884999999999999,0.125
1000001001000000,0.669,"(0, 6, 9)",1.044,0.125
1000001000100000,0.6563333333333333,"(0, 6, 10)",1.0313333333333334,0.125
1000001000010000,0.6326666666666667,"(0, 6, 11)",1.0076666666666667,0.125
1000001000001000,0.6128333333333333,"(0, 6, 12)",0.9878333333333333,0.125
1000001000000100,0.6855,"(0, 6, 13)",1.0605,0.125
1000001000000010,0.63,"(0, 6, 14)",1.005,0.125
1000001000000001,0.6910000000000001,"(0, 6, 15)",1.066,0.125
1000000110000000,0.5958333333333333,"(0, 7, 8)",0.9708333333333333,0.125
1000000101000000,0.636,"(0, 7, 9)",1.0110000000000001,0.125
1000000100100000,0.6248333333333334,"(0, 7, 10)",0.9998333333333334,0.125
1000000100010000,0.6506666666666667,"(0, 7, 11)",1.0256666666666667,0.125
1000000100001000,0.629,"(0, 7, 12)",1.004,0.125
1000000100000100,0.6653333333333333,"(0, 7, 13)",1.0403333333333333,0.125
1000000100000010,0.6016666666666667,"(0, 7, 14)",0.9766666666666667,0.125
1000000100000001,0.7088333333333333,"(0, 7, 15)",1.0838333333333332,0.125
1000000011000000,0.6473333333333333,"(0, 8, 9)",1.0223333333333333,0.125
1000000010100000,0.6116666666666667,"(0, 8, 10)",0.9866666666666667,0.125
1000000010010000,0.6445000000000001,"(0, 8, 11)",1.0195,0.125
1000000010001000,0.6353333333333333,"(0, 8, 12)",1.0103333333333333,0.125
1000000010000100,0.6246666666666667,"(0, 8, 13)",0.9996666666666667,0.125
1000000010000010,0.5858333333333333,"(0, 8, 14)",0.9608333333333333,0.125
1000000010000001,0.6996666666666667,"(0, 8, 15)",1.0746666666666667,0.125
1000000001100000,0.6445000000000001,"(0, 9, 10)",1.0195,0.125
1000000001010000,0.6576666666666666,"(0, 9, 11)",1.0326666666666666,0.125
1000000001001000,0.6578333333333333,"(0, 9, 12)",1.0328333333333333,0.125
1000000001000100,0.665,"(0, 9, 13)",1.04,0.125
1000000001000010,0.6346666666666667,"(0, 9, 14)",1.0096666666666667,0.125
1000000001000001,0.7051666666666667,"(0, 9, 15)",1.0801666666666667,0.125
1000000000110000,0.618,"(0, 10, 11)",0.993,0.125
1000000000101000,0.595,"(0, 10, 12)",0.97,0.125
1000000000100100,0.6599999999999999,"(0, 10, 13)",1.035,0.125
1000000000100010,0.6218333333333333,"(0, 10, 14)",0.9968333333333333,0.125
1000000000100001,0.6808333333333334,"(0, 10, 15)",1.0558333333333334,0.125
1000000000011000,0.6328333333333334,"(0, 11, 12)",1.0078333333333334,0.125
1000000000010100,0.6273333333333333,"(0, 11, 13)",1.0023333333333333,0.125
1000000000010010,0.6256666666666666,"(0, 11, 14)",1.0006666666666666,0.125
1000000000010001,0.7025,"(0, 11, 15)",1.0775000000000001,0.125
1000000000001100,0.6178333333333333,"(0, 12, 13)",0.9928333333333333,0.125
1000000000001010,0.594,"(0, 12, 14)",0.969,0.125
1000000000001001,0.6946666666666667,"(0, 12, 15)",1.0696666666666665,0.125
1000000000000110,0.6118333333333333,"(0, 13, 14)",0.9868333333333333,0.125
1000000000000101,0.698,"(0, 13, 15)",1.073,0.125
1000000000000011,0.6928333333333334,"(0, 14, 15)",1.0678333333333334,0.125
0111000000000000,0.8726666666666667,"(1, 2, 3)",1.2476666666666667,0.125
0110100000000000,0.866,"(1, 2, 4)",1.241,0.125
0110010000000000,0.8058333333333334,"(1, 2, 5)",1.1808333333333334,0.125
0110001000000000,0.7656666666666667,"(1, 2, 6)",1.1406666666666667,0.125
0110000100000000,0.7735,"(1, 2, 7)",1.1484999999999999,0.125
0110000010000000,0.7563333333333333,"(1, 2, 8)",1.1313333333333333,0.125
0110000001000000,0.7875,"(1, 2, 9)",1.1625,0.125
0110000000100000,0.7645,"(1, 2, 10)",1.1395,0.125
0110000000010000,0.7753333333333333,"(1, 2, 11)",1.1503333333333332,0.125
0110000000001000,0.7841666666666667,"(1, 2, 12)",1.1591666666666667,0.125
0110000000000100,0.7731666666666667,"(1, 2, 13)",1.1481666666666666,0.125
0110000000000010,0.7631666666666667,"(1, 2, 14)",1.1381666666666668,0.125
0110000000000001,0.8358333333333333,"(1, 2, 15)",1.2108333333333334,0.125
0101100000000000,0.8678333333333333,"(1, 3, 4)",1.2428333333333335,0.125
0101010000000000,0.8323333333333334,"(1, 3, 5)",1.2073333333333334,0.125
0101001000000000,0.8008333333333333,"(1, 3, 6)",1.1758333333333333,0.125
0101000100000000,0.7935,"(1, 3, 7)",1.1684999999999999,0.125
0101000010000000,0.8068333333333333,"(1, 3, 8)",1.1818333333333333,0.125
0101000001000000,0.8218333333333333,"(1, 3, 9)",1.1968333333333332,0.125
0101000000100000,0.7863333333333333,"(1, 3, 10)",1.1613333333333333,0.125
